evento,descricao,similar_event,descricao_similar,similarity
GDT 1 - ENAPET 2019,"(Encaminhamento 1.4): Que os grupos PET, com a avaliação de profissional qualificado, verifiquem, periodicamente, a saúde mental dos petianos e busquem ações específicas, ainda sob supervisão profissional, de modo a auxiliar no tratamento da condição diagnosticada, a partir da aprovação na Assembleia Geral do XXIV ENAPET (Aprovado por contraste).",GDT 6 - ENEPET 2020,"Que os grupos PET relembrem das atividades aprovadas em assembleias anteriores: XIX ENEPET : ""Que o movimento de cada estado promova reuniões, semestralmente, para se discutir a problemática da saúde mental. Essas reuniões terão como objetivo proporcionar alternativas, através de formações, para melhorar e/ou acompanhar a saúde mental dos grupos PETS"". XXIV ENAPET: ""Que os grupos PET, com a avaliação de profissional qualificado, verifiquem, periodicamente, a saúde mental dos petianos e busquem ações específicas, ainda sob supervisão profissional, de modo a auxiliar no tratamento da condição diagnosticada, a partir da aprovação na Assembleia Geral do XXIV ENAPET"".",0.689992970286405
GDT 6 - ENEPET 2020,"Que os grupos PET relembrem das atividades aprovadas em assembleias anteriores: XIX ENEPET : ""Que o movimento de cada estado promova reuniões, semestralmente, para se discutir a problemática da saúde mental. Essas reuniões terão como objetivo proporcionar alternativas, através de formações, para melhorar e/ou acompanhar a saúde mental dos grupos PETS"". XXIV ENAPET: ""Que os grupos PET, com a avaliação de profissional qualificado, verifiquem, periodicamente, a saúde mental dos petianos e busquem ações específicas, ainda sob supervisão profissional, de modo a auxiliar no tratamento da condição diagnosticada, a partir da aprovação na Assembleia Geral do XXIV ENAPET"".",GDT 1 - ENAPET 2019,"(Encaminhamento 1.4): Que os grupos PET, com a avaliação de profissional qualificado, verifiquem, periodicamente, a saúde mental dos petianos e busquem ações específicas, ainda sob supervisão profissional, de modo a auxiliar no tratamento da condição diagnosticada, a partir da aprovação na Assembleia Geral do XXIV ENAPET (Aprovado por contraste).",0.689992970286405
GDT 5 - ENEPET 2020,"5.2-Que cada Grupo PET, a partir desse evento crie uma comissão do mobiliza e uma do Diversifica composta por pelo menos dois ou três integrantes, compondo 12 assim uma comissão interna que atuará para fortalecer o comitê local. Votos via Assembleia Assíncrona: (Aprovação 37,5%, Alteração 1,9%, Informação 1,9%, Discussão 7,5%, Contrário 19,7%, Abstenção 31,6%) Proposta de alteração: Que os grupos PETs do Nordeste, a partir da aprovação deste encaminhamento na assembleia final do XIX ENEPET, e demais regiões do Brasil, a partir da aprovação na assembleia geral do XXV ENAPET, se articulem de forma a construir comissões para o Diversifica PET/Comissão de Diversidades composta por a partir de dois/duas petianos(as). Sendo um(a) petiana(o) efetivo(a) e um(a) vice, tendo ambos(as) igual poder de representação. Deve-se visar, com essa estratégia, construir uma estrutura de sustentação para uma mobilização que siga a seguinte sequência: Grupo PET>IES>Estado>Região>Nacional, tendo cada seção também dois/duas representantes organizados (as) de forma a não haver acúmulo de funções na instância do Diversifica PET"". (ALTERAÇÃO APROVADA POR MAIORIA NA ASSEMBLEIA SÍNCRONA)",GDT 8 - ENAPET 2019,"Que os Grupos PET, após o XXIV ENAPET, se articulem internamente de forma a construir comissões para o Mobiliza PET composta por a partir de dois/duas petianos(as). Sendo um(a) petiana(o) efetivo(a) e um(a) vice, tendo ambos(as) igual poder de representação. Deve- se visar, com essa estratégia, construir uma estrutura de sustentação para uma mobilização que siga a seguinte sequência: Grupo PET>IES>Estado>Região, tendo cada seção também dois/duas representantes organizados(as) de forma a não haver acúmulo de funções na instância mobiliza PET. Havendo comissão estadual de mobilização, os (as) representantes(as) terão preferência para assumir o cargo.",0.5928662016200711
GDT 8 - ENAPET 2019,"Que os Grupos PET, após o XXIV ENAPET, se articulem internamente de forma a construir comissões para o Mobiliza PET composta por a partir de dois/duas petianos(as). Sendo um(a) petiana(o) efetivo(a) e um(a) vice, tendo ambos(as) igual poder de representação. Deve- se visar, com essa estratégia, construir uma estrutura de sustentação para uma mobilização que siga a seguinte sequência: Grupo PET>IES>Estado>Região, tendo cada seção também dois/duas representantes organizados(as) de forma a não haver acúmulo de funções na instância mobiliza PET. Havendo comissão estadual de mobilização, os (as) representantes(as) terão preferência para assumir o cargo.",GDT 5 - ENEPET 2020,"5.2-Que cada Grupo PET, a partir desse evento crie uma comissão do mobiliza e uma do Diversifica composta por pelo menos dois ou três integrantes, compondo 12 assim uma comissão interna que atuará para fortalecer o comitê local. Votos via Assembleia Assíncrona: (Aprovação 37,5%, Alteração 1,9%, Informação 1,9%, Discussão 7,5%, Contrário 19,7%, Abstenção 31,6%) Proposta de alteração: Que os grupos PETs do Nordeste, a partir da aprovação deste encaminhamento na assembleia final do XIX ENEPET, e demais regiões do Brasil, a partir da aprovação na assembleia geral do XXV ENAPET, se articulem de forma a construir comissões para o Diversifica PET/Comissão de Diversidades composta por a partir de dois/duas petianos(as). Sendo um(a) petiana(o) efetivo(a) e um(a) vice, tendo ambos(as) igual poder de representação. Deve-se visar, com essa estratégia, construir uma estrutura de sustentação para uma mobilização que siga a seguinte sequência: Grupo PET>IES>Estado>Região>Nacional, tendo cada seção também dois/duas representantes organizados (as) de forma a não haver acúmulo de funções na instância do Diversifica PET"". (ALTERAÇÃO APROVADA POR MAIORIA NA ASSEMBLEIA SÍNCRONA)",0.5928662016200711
GDT 3 - InterPET 2018,"Que os Grupos PET da UFAL, a partir de 2019, insiram em seus editais de seleção uma
cláusula de prioridade de acesso às bolsas cedidas pelo Programa àqueles candidatos que se
autodeclarem em situação de vulnerabilidade socioeconômica, sendo a forma de avaliação e
comprovação critério de cada grupo.",GDT 7 - ENAPET 2019,"Que os Grupos PET do Brasil, a partir de 2020, insiram em seus editais de seleção uma cláusula de prioridade de acesso às bolsas destinadas à seleção vigente àqueles candidatos que se autodeclararem em situação de vulnerabilidade socioeconômica, a partir de documentação institucionalizada (a exemplo de CADúnico ou comprovação oriunda da IES). Os demais aprovados irão seguir a ordem de classificação do processo seletivo para suplência de bolsa, ingressando como não bolsistas, caso o número de aprovados(as) dentro do critério de vulnerabilidade seja superior ao número de bolsas. Caso todas(os) os(as) tenham comprovado vulnerabilidade socioeconômica, a distribuição das bolsas seguirá a classificação do processo seletivo.",0.4693769377792498
GDT 7 - ENAPET 2019,"Que os Grupos PET do Brasil, a partir de 2020, insiram em seus editais de seleção uma cláusula de prioridade de acesso às bolsas destinadas à seleção vigente àqueles candidatos que se autodeclararem em situação de vulnerabilidade socioeconômica, a partir de documentação institucionalizada (a exemplo de CADúnico ou comprovação oriunda da IES). Os demais aprovados irão seguir a ordem de classificação do processo seletivo para suplência de bolsa, ingressando como não bolsistas, caso o número de aprovados(as) dentro do critério de vulnerabilidade seja superior ao número de bolsas. Caso todas(os) os(as) tenham comprovado vulnerabilidade socioeconômica, a distribuição das bolsas seguirá a classificação do processo seletivo.",GDT 3 - InterPET 2018,"Que os Grupos PET da UFAL, a partir de 2019, insiram em seus editais de seleção uma
cláusula de prioridade de acesso às bolsas cedidas pelo Programa àqueles candidatos que se
autodeclarem em situação de vulnerabilidade socioeconômica, sendo a forma de avaliação e
comprovação critério de cada grupo.",0.4693769377792498
GDT 7 - ENAPET 2019,"Que a Diretoria da Cenapet após o XXIV Enapet solicite ao MEC que efetue a revisão do Artigo 20 da Portaria nº 976/2010 do MEC, inciso IV, que versa sobre o desligamento do petiano quando do acúmulo de 2 reprovações após seu ingresso no PET, (elevando-se o limite de reprovações) aplicando-se cálculo que leve em consideração o curso do aluno e/ou a carga horária semestral de disciplinas cursadas pelo mesmo promovendo a redução de rotatividade de petianos.",GDT 14: Seleção e desligamento no Programa - ENAPET 2020,"Que a diretoria da CENAPET proponha ao MEC, em reunião ou ofıcio, apos aprovação na Assembleia Geral do XXV ENAPET, a revisao do artigo 20, inciso IV, da portaria n° 976/2010, que refere-se sobre o desligamento da/o petiana/o quando o ac ́umulo de 2 reprovações depois do seu ingresso no PET. Que seja proposto, por exemplo, o aumento do limite das reprovações de acordo com a carga horaria semestral de disciplinas do curso ou considerando que essas duas reprovações não sejam
periodicas (semestral ou anual), sendo isso avaliado pelo CLAA da referida IES antes de estabelecido o desligamento.",0.4544126506341442
GDT 14: Seleção e desligamento no Programa - ENAPET 2020,"Que a diretoria da CENAPET proponha ao MEC, em reunião ou ofıcio, apos aprovação na Assembleia Geral do XXV ENAPET, a revisao do artigo 20, inciso IV, da portaria n° 976/2010, que refere-se sobre o desligamento da/o petiana/o quando o ac ́umulo de 2 reprovações depois do seu ingresso no PET. Que seja proposto, por exemplo, o aumento do limite das reprovações de acordo com a carga horaria semestral de disciplinas do curso ou considerando que essas duas reprovações não sejam
periodicas (semestral ou anual), sendo isso avaliado pelo CLAA da referida IES antes de estabelecido o desligamento.",GDT 7 - ENAPET 2019,"Que a Diretoria da Cenapet após o XXIV Enapet solicite ao MEC que efetue a revisão do Artigo 20 da Portaria nº 976/2010 do MEC, inciso IV, que versa sobre o desligamento do petiano quando do acúmulo de 2 reprovações após seu ingresso no PET, (elevando-se o limite de reprovações) aplicando-se cálculo que leve em consideração o curso do aluno e/ou a carga horária semestral de disciplinas cursadas pelo mesmo promovendo a redução de rotatividade de petianos.",0.4544126506341442
Grupo de Trabalho (GT) I - ENEPET 2018,"Que a comissão organizadora dos eventos regionais reserve um espaço na programação
para que haja reunião entre os representantes estaduais e membros da diretoria e
conselho da CENAPET. (APROVADA POR CONTRASTE)",GDT 6 - ENAPET 2019,"(Encaminhamento 6.2): Que a partir do XXIV ENAPET a comissão organizadora dos eventos regionais inclua na programação do evento os Encontros de Tutores, Encontros de Discentes e de Representantes Estaduais Discentes. (Aprovado por contraste);",0.43149767556674906
GDT 6 - ENAPET 2019,"(Encaminhamento 6.2): Que a partir do XXIV ENAPET a comissão organizadora dos eventos regionais inclua na programação do evento os Encontros de Tutores, Encontros de Discentes e de Representantes Estaduais Discentes. (Aprovado por contraste);",Grupo de Trabalho (GT) I - ENEPET 2018,"Que a comissão organizadora dos eventos regionais reserve um espaço na programação
para que haja reunião entre os representantes estaduais e membros da diretoria e
conselho da CENAPET. (APROVADA POR CONTRASTE)",0.43149767556674906
